OBJECTID *,IN_FID,NEAR_FID,NEAR_DIST,name_chk,dir_chk,Sensor_ID,MHN_ID
871,967,853,19.368012,86,pass,IL-TESTTSC-DAN_RYAN_EXPRESS-N-5090,15783-15686-1
872,968,1156,2.608879,100,pass,IL-TESTTSC-EISENHOWER-E-3013,21065-13349-1
873,969,685,2.559418,100,pass,IL-TESTTSC-EDENS-S-1026,20660-20661-1
874,970,888,14.765706,100,pass,IL-TESTTSC-BISHOP_FORD-N-7024,16261-16217-1
875,971,841,14.300004,58,fail,IL-TESTTSC-DAN_RYAN_EXPRESS-S-5352,15706-15663-1
876,974,300,16.086357,100,pass,IL-TESTTSC-I_80-W-35133,20487-20490-1
877,975,547,15.922022,100,pass,IL-TESTTSC-I_80-W-35107,20448-20451-1
878,976,1029,15.207866,100,pass,IL-TESTTSC-EISENHOWER-E-3017,13514-13642-1
879,977,847,17.77424,100,pass,IL-TESTTSC-DAN_RYAN-N-5204,15726-15727-1
880,978,173,0.345265,100,pass,IL-TESTTSC-KENNEDY-W-2109,21467-21455-1
881,979,1742,15.971661,100,pass,IL-TESTTSC-DAN_RYAN-S-5308,15633-15632-1
882,981,1928,5.663398,100,pass,IN-InDOT-V001-EB_I-94_SRC_23,17358-17523-1
883,982,1920,10.004567,100,pass,IN-InDOT-V001-WB_I-94_SRC_2064,17244-17167-1
884,983,1963,1.595484,100,pass,IN-InDOT-V001-NB_I-65_SRC_2471,17830-17866-1
885,984,1887,20.155639,100,pass,IN-InDOT-V001-EB_I-94_SRC_10,17012-17050-1
886,985,1963,3.038107,100,pass,IN-InDOT-V001-NB_I-65_SRC_2030,17830-17866-1
887,986,1890,0.142492,100,pass,IN-InDOT-V001-WB_I-94_SRC_2477,17062-17051-1
888,987,2071,17.888075,100,pass,IN-InDOT-V001-WB_I-94_SRC_2060,22196-18122-1
889,988,1966,41.751914,100,pass,IN-InDOT-V001-SB_I-65_SRC_2025,17861-17815-1
